ID,Name,Pack,Potency,Category,Bottles,ML,Priority,Supplier1,Cost1,Supplier2,Cost2,Cost/ML,Days,MFD,Expiry,Updated,Active,Status,Remarks,Barcode
HOM001,ARSENICUM ALBUM,15 ML,30,HOMEO,5,,0,SBL,60,,,,,,2027-01,,YES,,QA seed,
HOM002,ARSENICUM IODATUM,15 ML,30,HOMEO,3,,0,SBL,65,,,,,,2027-01,,YES,,QA seed,
HOM003,BELLADONNA,15 ML,30,HOMEO,4,,0,SBL,55,BAKSON,58,,,,2027-03,,YES,,QA seed variant base,
HOM004,BELLADONNA,30 ML,30,HOMEO,6,,0,SBL,90,,,,,,2027-03,,YES,,QA seed pack variant,
HOM005,BELLADONNA,30 ML,200,HOMEO,2,,0,SBL,95,,,,,,2027-03,,YES,,QA seed potency variant,
HOM006,BELLADONNA,100 ML,1M,HOMEO,0,,0,SBL,120,,,,,,2027-03,,YES,,QA seed zero-stock variant,
HOM007,NUX VOMICA,15 ML,30,HOMEO,8,,0,BAKSON,55,,,,,,2027-02,,YES,,QA seed,
GEN010,SUNNY HAIR COLOR BLACK,1 PACKET,,GENERAL,4,,0,SUNNY,40,,,,,,2028-01,,YES,,QA seed packet unit,
COVER001,MEDICINE COVER,PACKET,,PACKAGING,100,,0,PRINTER,2,,,,,,,,YES,,QA seed packaging material,
SACHET001,SOS SACHET,PACKET,,PACKAGING,50,,0,PRINTER,1,,,,,,,,YES,,QA seed packaging material,
